category,manhour
vertical_nonrc_pc,5
vertical_beamfw_pc,15
casting_pump_m3,0.5
casting_bucket_m3,5
loosebar_ton,25
mesh_ton,13
scaffold_m3,1.2
posttension_pc,4
Brick/Blockwall_m2,1.22
Precast_concrete_wall_panel_installation_m2,0.55
Dry_Partition_Wall_m2,0.44
Painting_(Spray)_m2,0.15
Painting_(Roller)_m2,0.18
Wallpaper_m2,0.07
Tiling/Marble/Stone_(Wall)_m2,0.70
Tiling/Marble/Stone_(Floor)_m2,0.56
Wood_Flooring_m2,0.94
Engineered_Timber_Flooring_m2,0.56
Resilient_Flooring_(Vinyl)_m2,0.07
Suspended_Ceiling_(Exposed_Grid)_m2,0.20
Suspended_Ceiling_(Concealed_Grid)_m2,0.93
Formwork_Installation_m2,0.65
System_Formwork_Installation_m2,0.43
Concrete_Placement_m3,0.54
Self_Compacting_Concrete_m3,0.18
Pre-stressing_work_m3,0.27
Precast_structural_concrete_component_installation_m2,3.03
Structural_Steel_work_m2,2.63
Precast_shell_fabrication_m2,0.43
Jointing_m2,0.02
Skim_coat_m2,0.55
Door_and_Window_pc,1.5
Glass_Partition_m2,0.75
Cladding/Curtain_Wall_m2,3.5
Plaster_m2,2
Waterproofing_m2,1.25
Floor_Screed/Protecting_Screed/Hardeners_m2,1.25
Raised_Floor_m2,3.5
